"State","Region Name","ASGC 2008 Code"
"NSW","Wollongong (C) Bal",115058454
"NSW","Shoalhaven (C) - Pt A",115076951
"NSW","Shoalhaven (C) - Pt B",115106952
"NSW","Wingecarribee (A)",115108350
"NSW","Tweed (A) - Tweed-Heads",120057554
"NSW","Tweed (A) - Tweed Coast",120057556
"NSW","Lismore (C) - Pt A",120074851
"NSW","Ballina (A)",120100250
"NSW","Byron (A)",120101350
"NSW","Kyogle (A)",120104550
"NSW","Lismore (C) - Pt B",120104854
"NSW","Richmond Valley (A) - Casino",120106611
"NSW","Richmond Valley (A) Bal",120106612
"NSW","Tweed (A) - Pt B",120107558
"NSW","Coffs Harbour (C) - Pt A",125011801
"NSW","Port Macquarie-Hastings (A) - Pt A",125036381
"NSW","Bellingen (A)",125050600
"NSW","Clarence Valley (A) - Coast",125051736
"NSW","Clarence Valley (A) - Grafton",125051737
"NSW","Clarence Valley (A) Bal",125051738
"NSW","Coffs Harbour (C) - Pt B",125051804
"NSW","Nambucca (A)",125055700
"NSW","Greater Taree (C)",125103350
"NSW","Kempsey (A)",125104350
"NSW","Port Macquarie-Hastings (A) - Pt B",125106385
"NSW","Lord Howe Island",125108859
"NSW","Tamworth Regional (A) - Pt A",130057311
"NSW","Gunnedah (A)",130103550
"NSW","Gwydir (A)",130103660
"NSW","Inverell (A) - Pt A",130104201
"NSW","Liverpool Plains (A)",130104920
"NSW","Tamworth Regional (A) - Pt B",130107314
"NSW","Armidale Dumaresq (A) - City",130150111
"NSW","Armidale Dumaresq (A) Bal",130150112
"NSW","Glen Innes Severn (A)",130153010
"NSW","Guyra (A)",130153650
"NSW","Inverell (A) - Pt B",130154202
"NSW","Tenterfield (A)",130157400
"NSW","Uralla (A)",130157650
"NSW","Walcha (A)",130157850
"NSW","Moree Plains (A)",130205300
"NSW","Narrabri (A)",130205750
"NSW","Dubbo (C) - Pt A",135012601
"NSW","Dubbo (C) - Pt B",135052604
"NSW","Gilgandra (A)",135052950
"NSW","Mid-Western Regional (A) - Pt A",135055271
"NSW","Narromine (A)",135055850
"NSW","Warrumbungle Shire (A)",135058020
"NSW","Wellington (A)",135058150
